date,hour,day_type
2020-04-26,16,weekend
2020-04-26,16,weekend
2020-04-26,16,weekend
2020-04-26,16,weekend
2020-04-26,16,weekend
2020-04-26,16,weekend
2020-04-26,16,weekend
2020-04-26,16,weekend
2020-04-26,16,weekend
2020-04-26,17,weekend
2020-04-26,17,weekend
2020-04-26,17,weekend
2020-04-26,17,weekend
2020-04-26,17,weekend
2020-04-26,17,weekend
2020-04-26,17,weekend
2020-04-26,17,weekend
2020-04-26,17,weekend
2020-04-26,18,weekend
2020-04-26,18,weekend
2020-04-26,18,weekend
2020-04-26,18,weekend
2020-04-26,18,weekend
2020-04-26,18,weekend
2020-04-26,18,weekend
2020-04-26,18,weekend
2020-04-26,18,weekend
2020-04-26,18,weekend
2020-04-26,18,weekend
2020-04-26,18,weekend
2020-04-26,18,weekend
2020-04-26,18,weekend
2020-04-26,19,weekend
2020-04-26,19,weekend
2020-04-26,19,weekend
2020-04-26,19,weekend
2020-04-26,19,weekend
2020-04-26,19,weekend
2020-04-26,19,weekend
2020-04-26,19,weekend
2020-04-26,19,weekend
2020-04-26,19,weekend
2020-04-26,19,weekend
2020-04-26,19,weekend
2020-04-26,19,weekend
2020-04-26,19,weekend
2020-04-26,19,weekend
2020-04-26,19,weekend
2020-04-26,19,weekend
2020-04-26,19,weekend
2020-04-26,19,weekend
2020-04-26,19,weekend
2020-04-26,19,weekend
2020-04-26,19,weekend
2020-04-26,19,weekend
2020-04-26,19,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,20,weekend
2020-04-26,21,weekend
2020-04-26,21,weekend
2020-04-26,21,weekend
2020-04-26,21,weekend
2020-04-26,21,weekend
2020-04-26,21,weekend
2020-04-26,21,weekend
2020-04-26,21,weekend
2020-04-26,21,weekend
2020-04-26,21,weekend
2020-04-26,22,weekend
2020-04-26,22,weekend
2020-04-26,22,weekend
2020-04-26,23,weekend
2020-04-27,3,working_day
2020-04-27,8,working_day
2020-04-27,21,working_day
2020-04-28,11,working_day
2020-04-28,11,working_day
2020-04-28,16,working_day
2020-04-29,20,working_day
2020-04-29,20,working_day
2020-04-29,20,working_day
2020-04-29,20,working_day
2020-04-29,20,working_day
2020-04-29,20,working_day
2020-04-29,22,working_day
2020-04-29,22,working_day
2020-04-29,22,working_day
2020-04-30,5,working_day
2020-04-30,7,working_day
2020-04-30,10,working_day
2020-04-30,10,working_day
2020-04-30,10,working_day
2020-04-30,10,working_day
2020-04-30,11,working_day
2020-04-30,15,working_day
2020-04-30,15,working_day
2020-04-30,18,working_day
2020-04-30,18,working_day
2020-04-30,18,working_day
2020-04-30,18,working_day
2020-04-30,18,working_day
2020-04-30,18,working_day
2020-04-30,19,working_day
2020-04-30,19,working_day
2020-04-30,19,working_day
2020-04-30,19,working_day
2020-04-30,19,working_day
2020-04-30,19,working_day
2020-04-30,19,working_day
2020-04-30,19,working_day
2020-04-30,19,working_day
2020-04-30,19,working_day
2020-04-30,19,working_day
2020-04-30,19,working_day
2020-04-30,19,working_day
2020-05-01,6,working_day
2020-05-01,11,working_day
2020-05-01,11,working_day
